Ref,Qty,Part,Value,Package,Mount,Side,Role,Alternatives,Notes
R2,1,Resistor,10k,0805,SMD,SELV,IO0 pull-up,,
SW1,1,Tact switch,6x6mm,6x6 THT,THT,SELV,Boot mode / factory reset,4.5x4.5 SMD,Needs tall actuator for enclosure
LED1,1,LED green,0805,0805,SMD,SELV,Power / heartbeat,3mm THT,
LED2,1,LED blue,0805,0805,SMD,SELV,Wi-Fi / cloud status,3mm THT,
R3,1,Resistor,1k,0805,SMD,SELV,LED1 current limit,470R-2.2k,
R4,1,Resistor,1k,0805,SMD,SELV,LED2 current limit,470R-2.2k,
U4,1,DS3231SN,RTC +/-2ppm TCXO,SOIC-16,SMD,SELV,Timekeeping through power cuts,DS3231M SOIC-8 / PCF8563T SOP-8,
BT1,1,CR2032 holder,THT,THT holder,THT,SELV,RTC backup cell holder,,
B1,1,CR2032 lithium cell,3V,Coin,-,SELV,RTC backup ~8 years,,NON-rechargeable - no trickle charger
R5,1,Resistor,4.7k,0805,SMD,SELV,I2C SDA pull-up,2.2-10k,
R6,1,Resistor,4.7k,0805,SMD,SELV,I2C SCL pull-up,2.2-10k,
C13,1,Ceramic capacitor,100nF X7R,0805,SMD,SELV,DS3231 decoupling,,
R7,1,Resistor,0R jumper,0805,SMD,SELV,AGND to GND single-point star link,Altium NetTie component,Keeps analog and digital returns separate - place directly under the metering IC
J3,1,Pin header,1x6 2.54mm,1x6,THT,SELV,Programming: 3V3 GND TXD0 RXD0 EN IO0,Bare pads for pogo-pin jig,Auto-reset circuit lives on the JIG
U5,0,W25Q64,8MB SPI flash,SOIC-8,SMD,SELV,Optional extra log storage - DNP,,Footprint only - leave empty
CT1,1,Split-core CT,100A:50mA 2000:1 13mm window,SCT-013-000,External,-,Non-invasive current sensing,Any 2000:1 100A split-core clamp,Biggest single BOM cost
PCB,1,Bare PCB,2-layer 1.6mm 1oz ENIG,~50x45mm,-,-,Circuit board,HASL acceptable,Routed isolation slot required
